Libellé de la branche code de la branche en A17 Région;Agriculture, sylviculture et pêche AZ;Industries manufacturières, industries extractives et autres =DE+C1+C2+C3+C4+C5;Industries extractives, énergie, eau, gestion des déchets et dépollution DE;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac C1;Cokéfaction et raffinage C2;"Fabrication  d'équipements électriques, informatiques ; fabrication de machines C3";Fabrication de matériels de transport C4;Fabrication d'autres produits industriels C5;Construction FZ;Commerce de gros et de détail, transports, hébergement et restauration =GZ+HZ+IZ;"Commerce ; réparation d'automobiles et de motocycles GZ";Transport et entreposage HZ;Hébergement et restauration IZ;Information et communication JZ;Activités financières et d'assurance KZ;Activités immobilières LZ;"Activités scientifiques et techniques ; services administratifs et de soutien MN";Administration publique, enseignement, santé humaine et action sociale OQ;Autres activités de services RU;Total
Provence-Alpes-Côte d'Azur;2109,873838054;15849,840014505;4031,852562622;2012,935267152;425,310039379;1374,058539083;1401,861955765;6603,821650504;8280,929108039;26506,57382357;13947,145181171;6705,766646899;5853,661995500;6071,016312676;3961,357627795;19824,501866363;16972,280173519;36360,507123549;4357,432497524;140294,312385595
Dom;30836,091311984;222337,508504517;35957,376204284;39450,705602136;2316,188478830;23663,137878953;21234,106656311;99715,993684003;82382,569626077;232092,014317308;134478,34183991;59748,095968781;37865,576508617;40661,989027907;40981,565612726;175809,382018354;142146,312546246;338572,636006193;37746,088030081;1343566,15700139
Dom;31185,80588004;278025,396480189;49963,051416041;43922,354632927;2621,146605347;30469,462889039;30122,497735811;120926,883201024;106409,393098099;347821,741750074;204257,973282196;89937,700595056;53626,067872821;100605,704766887;84242,1482417;252099,080381482;263837,103139987;434048,672999296;57601,735099190;1955876,78183694
Guadeloupe;144,917;783,059;535,771;;;;;;333,346;1391,75;;;;303,833;394,266;895,262;512,641;3119,322;191,961;8070,357
Martinique;202,313;671,378;291,817;;;;;;299,89;1290,607;;;;349,203;420,526;1010,461;700,303;3006,79;229,499;8180,97
Guyane;173,109;403,326;208,021;;;;;;194,13;572,678;;;;129,832;123,347;446,543;425,666;1395,701;86,558;3950,89
Réunion;322,921;1056,332;278,433;;;;;;998,893;2887,613;;;;559,51;795,246;2484,06;1116,705;6073,172;699,699;16994,151
Mayotte;76,536;137,359;77,29;;;;;;95,676;276,803;;;;50,382;50,635;233,37;55,004;1151,727;31,809;2159,301
Dom;919,796;3051,454;1391,332;667,205728362;31,922180475;65,907797529;31,345766363;863,748877937;1921,935;6419,451;0;0;0;1392,76;1784,02;5069,696;2810,319;14746,712;1239,526;39355,669
Dom;32105,60188004;281076,850480189;51354,383416041;44589,560361289;2653,068785822;30535,370686568;30153,843502174;121790,632078961;108331,328098099;354241,192750074;204257,973282196;89937,700595056;53626,067872821;101998,464766887;86026,1682417;257168,776381482;266647,422139987;448795,384999296;58841,261099190;1995232,45083694
Auvergne-Rhône-Alpes;2416,186696173;41947,987376272;7179,77977702;4573,49535951;170,13607223;6057,06550775;1683,81827126;22283,692389;14484,587891095;38965,528268567;23004,1923763;9917,6658167;6043,67007542;7625,150131615;6998,123866469;29161,451773074;26558,014896281;49101,336276647;6150,240898579;223408,608074771
Bourgogne-Franche-Comté;2713,831084931;12265,364125148;1285,17469844;1783,67000613;6,427822733;1729,17626659;1623,8422271;5837,0731041;3845,109643210;11266,158116117;6783,2048243;3024,67459392;1458,27869792;867,232214198;1787,198305990;8842,190204844;5829,091128023;17172,963138018;1880,463988621;66469,601949100
Bretagne;2721,361895932;12621,704178187;1424,764134;4981,2229778;4,286923519;1261,7434376;527,81324523;4421,8734601;5327,267349740;13517,230397996;8287,3999706;2936,0733349;2293,7570925;3667,099181409;2495,590993585;10794,478713631;7560,841816958;20403,566711809;2509,839472198;81618,980711446
Centre-Val de Loire;1734,205197610;12273,380970391;2199,6901036;1582,5276791;0;1596,9673239;792,04492096;6102,1509428;3949,652032915;10541,426584589;6252,535589;2954,3342239;1334,5567717;1590,736596139;2207,372833268;8060,352990010;5989,227967878;15057,975180085;1822,762287466;63227,092640352
Corse;105,727684111;532,059819863;280,94998383;127,04620887;0;5,358732155;19,212241588;99,492653419;730,792748375;1771,162943273;851,00302309;369,91623602;550,24368417;159,493935589;190,466906332;872,220575584;531,489228498;2564,897495065;245,046283273;7703,357619962
Grand Est;4591,805926794;26579,038593547;4255,76458847;5009,8737192;2,667116095;3128,6698516;1956,76805455;12225,2952635;7905,559206534;23037,019156601;14179,3852181;5657,9514083;3199,68253017;2952,501041038;4203,063439911;16751,665716691;11787,942379669;34493,443668232;3731,685952524;136033,725081541
Hauts-de-France;3152,300616067;24166,482981889;3587,22910139;4666,7055315;119,962345335;1536,95694277;2011,01010425;12244,6189567;7973,215270072;23921,189424508;14521,9341391;6606,6942869;2792,56099842;3353,794369259;4567,508793424;17036,059515070;14026,570315061;39019,010203029;3532,777705693;140748,909194072
Île-de-France;562,720799720;54784,680055600;13712,111819;4466,9027073;347,93089427;6640,5251463;8233,1316968;21384,077792;24084,475274861;113012,269527403;67339,360869;29950,556668;15722,351991;57897,533080282;43625,277375552;74414,799697828;117510,408555106;94903,924984336;18688,174294667;599484,263645356
Normandie;2011,084702104;18316,534447602;2340,70029274;2794,191827;1196,7481245;1414,59391239;1655,13268506;8915,1676058;5138,518605354;13318,559348189;7364,1173806;3993,9399931;1960,50197453;1188,415398653;2381,883972755;10388,892360548;7288,088974744;20824,550868397;2347,648250118;83204,176928461
Nouvelle-Aquitaine;6391,735998420;21014,027896306;3819,50671838;4379,0883041;23,164051137;1966,19676563;2198,864928465;8627,2071285;9023,883957870;25703,111881580;15175,6257368;6416,91269496;4110,57344994;3346,194333288;5439,909834448;19482,362276579;13518,898870223;38404,206344901;4520,106814255;146844,43820787
Occitanie;3315,332940844;19613,609543815;3699,2587534;2760,235934;61,678905256;1570,06921138;5522,852666016;5999,5140739;8663,510224069;23873,148009557;14316,8921518;5535,4928146;4020,7630431;5008,498776986;3942,695798190;18512,467761042;17043,012419881;38303,959325645;4324,651904722;142600,886704752
Pays de la Loire;2726,963240753;17597,674656384;2326,31215;4173,5912336;118,61662068;2157,7842447;1972,0514705;6849,3189369;6568,527191967;16491,358424764;10157,911656;4079,9464867;2253,5002825;3286,441468530;3868,721642247;11957,560298024;10478,675375903;21548,856037344;2867,215167742;97391,993503658
Provence-Alpes-Côte d'Azur;1961,839531751;15990,990061625;3869,4411487;1844,2572019;534,52771002;1331,7513805;1689,6425785;6721,3700419;8227,266626541;26931,2998294;13950,646007;7392,0214551;5588,6323672;5620,839184272;4109,601329230;19158,950757468;16166,606468424;36193,621664059;4222,177306777;138583,192759547
Dom;33842,375515490;222918,854651029;36268,57144997;38675,90598271;2238,215691504;23756,333576965;21653,053393479;100326,774556619;81837,890747743;229337,192385141;134844,84807269;58885,6233451;35606,72096757;38666,396630976;42192,137715848;171018,652942565;136778,459841541;333088,386913229;38154,616031968;1327834,96337553
Dom;34405,09631521;277703,534706629;49980,68326897;43142,80869001;2586,146585775;30396,858723265;29886,185090279;121710,852348619;105922,366022605;342349,461912544;202184,20894169;88836,1800131;51329,07295857;96563,929711258;85817,4150914;245433,452640393;254288,868396647;427992,311897565;56842,790326635;1927319,22702089
Guadeloupe;146,073;752,774;504,939000003;;;;;;321,666;1336,811;;;;310,627;364,448;929,445000000;523,507;3049,216;215,244;7949,811000000
Martinique;227,279;769,201;338,169;;;;;;345,942;1252,098;;;;352,757;378,377;1004,815;702,737;2976,483;244,877;8254,566
Guyane;177,774;374,037;190,927;;;;;;196,437;570,51;;;;135,623;114,741;418,619;394,181;1374,561;89,739;3846,222
Réunion;270,473;996,325;281,126;;;;;;970,752;2660,691;;;;607,015;812,472;2429,492;1092,763;5988,434;690,713;16519,13
Mayotte;70,826;135,386;74,672;;;;;;97,794;264,324;;;;46,347;53,872;223,476;65,443;1063,689;20,133;2041,29
Dom;892,425;3027,723;1389,832999983;638,028826084;34,623801099;66,093894816;30,526667303;868,616810695;1932,591;6084,434;3467,720302525;1824,025484733;792,688212762;1452,369;1723,91;5005,847;2778,631;14452,383;1260,706000000;38611,019017066
Dom;35297,52131521;280731,257706629;51370,516268953;43780,837516094;2620,770386874;30462,952618081;29916,711757582;122579,469159314;107854,957022605;348433,895912544;205651,929244215;90660,205497833;52121,761171332;98016,298711258;87541,3250914;250439,299640393;257067,499396647;442444,694897565;58103,496326635;1965930,24603796
Auvergne-Rhône-Alpes;2438,668122460;44594,565536832;7141,590055405;4881,751024306;177,194960913;6470,186283373;1877,562716996;24046,280495839;15739,101386526;42264,798515232;24672,772322337;10680,310924552;6911,715268342;8409,020348255;6727,492539683;31663,193935814;32264,437826665;51997,244863880;6297,155597041;242395,678672387
Bourgogne-Franche-Comté;3097,140586698;12454,913086900;1340,320604419;1834,136215120;4,903911787;1453,312543297;1686,943449723;6135,296362553;4065,277483857;11463,434792617;6772,536424759;3097,500196363;1593,398171496;886,811465258;1659,927230368;9534,003676173;6626,257890592;17942,588239174;1844,485516598;69574,839968236
